adverts,sales,airplay,attract,residuals,standized.residuals,studentized.rediduals,cooks.distance,dffit,leverage,covariance.ratios
233.291,80,2,7,2.471,0.053,0.053,0,0.009,0.03,1.052
1035.433,190,12,8,-0.379,-0.008,-0.008,0,-0.001,0.024,1.046
102.642,90,5,9,-8.714,-0.189,-0.189,0,-0.042,0.046,1.069
526.142,120,14,7,-22.797,-0.487,-0.486,0.001,-0.053,0.012,1.028
624.538,150,20,5,0.819,0.018,0.017,0,0.002,0.014,1.035
912.349,230,57,6,-79.293,-1.719,-1.727,0.031,-0.353,0.04,1.001
215.994,150,19,8,5.607,0.12,0.12,0,0.015,0.016,1.037
561.963,210,35,7,-6.553,-0.14,-0.139,0,-0.012,0.007,1.028
474.76,180,22,5,36.798,0.787,0.786,0.002,0.092,0.013,1.022
231.523,140,16,7,15.477,0.331,0.33,0,0.037,0.013,1.031
678.596,360,53,7,72.933,1.57,1.576,0.017,0.262,0.027,0.997
70.922,10,4,6,-49.395,-1.064,-1.064,0.008,-0.18,0.028,1.026
1567.548,240,29,6,-30.621,-0.659,-0.658,0.003,-0.109,0.027,1.04
263.598,270,43,7,51.834,1.11,1.111,0.005,0.145,0.017,1.012
1423.568,290,26,7,30.616,0.657,0.656,0.002,0.092,0.019,1.032
715.678,220,28,7,13.971,0.297,0.297,0,0.022,0.005,1.024
777.237,230,37,8,-22.648,-0.484,-0.483,0.001,-0.051,0.011,1.027
509.43,220,32,5,40.181,0.86,0.859,0.003,0.106,0.015,1.021
964.11,240,34,7,-7.322,-0.156,-0.156,0,-0.015,0.009,1.029
583.627,260,30,7,58.445,1.245,1.246,0.002,0.091,0.005,0.994
923.373,170,15,7,-9.883,-0.211,-0.211,0,-0.025,0.013,1.034
344.392,130,23,7,-27.676,-0.59,-0.589,0.001,-0.051,0.007,1.021
1095.578,270,31,8,10.534,0.225,0.225,0,0.026,0.013,1.033
100.025,140,21,5,31.975,0.685,0.684,0.002,0.093,0.018,1.029
30.425,60,28,1,-21.344,-0.477,-0.477,0.006,-0.158,0.099,1.127
1080.342,210,18,7,6.69,0.143,0.143,0,0.017,0.014,1.035
799.899,210,28,7,-3.179,-0.068,-0.068,0,-0.005,0.006,1.027
1071.752,240,37,8,-37.648,-0.805,-0.805,0.002,-0.097,0.014,1.022
893.355,210,26,6,6.71,0.143,0.143,0,0.013,0.008,1.029
283.161,200,30,8,12.863,0.275,0.274,0,0.03,0.012,1.031
917.017,140,10,7,-22.506,-0.483,-0.482,0.001,-0.067,0.019,1.035
234.568,90,21,7,-51.619,-1.102,-1.102,0.003,-0.108,0.01,1.005
456.897,120,18,9,-52.561,-1.13,-1.131,0.008,-0.179,0.024,1.019
206.973,100,14,7,-15.704,-0.336,-0.335,0,-0.041,0.015,1.033
1294.099,360,38,7,71.197,1.525,1.531,0.01,0.204,0.017,0.99
826.859,180,36,6,-51.32,-1.096,-1.096,0.003,-0.114,0.011,1.007
564.158,150,32,7,-56.637,-1.206,-1.208,0.002,-0.093,0.006,0.997
192.607,110,9,5,34.525,0.742,0.741,0.003,0.116,0.024,1.034
10.652,90,39,5,-71.052,-1.531,-1.536,0.017,-0.261,0.028,1.001
45.689,160,24,7,24.312,0.52,0.519,0.001,0.058,0.012,1.028
42.568,230,45,7,23.861,0.513,0.512,0.002,0.08,0.024,1.04
20.456,40,13,8,-67.591,-1.454,-1.458,0.014,-0.235,0.025,1.003
635.192,60,17,6,-91.069,-1.943,-1.957,0.009,-0.193,0.01,0.953
1002.273,230,32,7,-13.827,-0.295,-0.294,0,-0.027,0.009,1.028
1177.047,230,23,6,12.731,0.272,0.272,0,0.033,0.015,1.034
507.638,120,0,6,37.004,0.798,0.797,0.005,0.141,0.03,1.039
215.689,150,35,5,-14.987,-0.322,-0.321,0.001,-0.046,0.02,1.039
526.48,120,26,6,-52.148,-1.111,-1.112,0.002,-0.091,0.007,1.002
26.895,60,19,6,-46.169,-0.988,-0.988,0.004,-0.12,0.015,1.015
883.877,280,26,7,66.428,1.416,1.419,0.003,0.118,0.007,0.986
9.104,120,53,8,-121.324,-2.629,-2.67,0.071,-0.54,0.039,0.92
103.568,230,29,8,61.476,1.316,1.318,0.007,0.164,0.015,1
169.583,230,28,7,70.326,1.501,1.506,0.005,0.148,0.01,0.984
429.504,40,17,6,-93.61,-1.998,-2.013,0.01,-0.201,0.01,0.949
223.639,140,26,8,-28.614,-0.612,-0.611,0.001,-0.07,0.013,1.026
145.585,360,42,8,144.132,3.093,3.164,0.051,0.461,0.021,0.853
985.968,210,17,6,29.155,0.623,0.622,0.001,0.073,0.013,1.026
500.922,260,36,8,34.174,0.73,0.729,0.001,0.077,0.011,1.021
226.652,250,45,7,28.235,0.606,0.605,0.002,0.086,0.02,1.033
1051.168,200,20,7,-7.568,-0.162,-0.161,0,-0.018,0.012,1.032
68.093,150,15,7,42.717,0.915,0.914,0.003,0.118,0.016,1.02
1547.159,250,28,8,-37.696,-0.811,-0.811,0.005,-0.134,0.027,1.035
393.774,100,27,6,-64.251,-1.37,-1.373,0.004,-0.119,0.007,0.99
804.282,260,17,8,72.405,1.549,1.555,0.009,0.193,0.015,0.987
801.577,210,32,8,-27.877,-0.595,-0.594,0.001,-0.058,0.01,1.023
450.562,290,46,9,23.689,0.51,0.509,0.002,0.085,0.027,1.044
26.598,220,47,8,-2.604,-0.056,-0.056,0,-0.01,0.03,1.052
179.061,70,19,1,6.346,0.141,0.141,0.001,0.045,0.093,1.124
345.687,110,22,8,-55.505,-1.186,-1.187,0.004,-0.134,0.012,1.004
295.84,250,55,9,-33.485,-0.727,-0.726,0.006,-0.153,0.042,1.054
2271.86,320,31,5,-6.055,-0.134,-0.133,0,-0.038,0.076,1.104
1134.575,300,39,8,10.284,0.22,0.22,0,0.028,0.016,1.037
601.434,180,21,6,18.326,0.391,0.39,0,0.034,0.008,1.025
45.298,180,36,6,15.023,0.322,0.321,0,0.042,0.017,1.036
759.518,200,21,7,13.821,0.295,0.294,0,0.025,0.007,1.026
832.869,320,44,7,50.144,1.073,1.073,0.004,0.131,0.015,1.012
56.894,140,27,7,-6.741,-0.144,-0.144,0,-0.016,0.012,1.033
709.399,100,16,6,-54.001,-1.153,-1.154,0.004,-0.12,0.011,1.004
56.895,120,33,6,-35.86,-0.767,-0.766,0.002,-0.094,0.015,1.024
767.134,230,33,8,-8.321,-0.178,-0.177,0,-0.017,0.01,1.03
503.172,150,21,7,-14.419,-0.307,-0.307,0,-0.026,0.007,1.026
700.929,250,35,9,-0.522,-0.011,-0.011,0,-0.002,0.018,1.04
910.851,190,26,7,-25.862,-0.551,-0.55,0.001,-0.047,0.007,1.022
888.569,240,14,6,77.525,1.658,1.666,0.01,0.2,0.014,0.979
800.615,250,34,6,27.642,0.59,0.589,0.001,0.057,0.009,1.023
1500,230,11,8,3.553,0.077,0.077,0,0.015,0.039,1.062
785.694,110,20,9,-97.206,-2.088,-2.106,0.025,-0.32,0.023,0.954
